,habitat_seagrass_global,habitat_h0to60_global,habitat_s0to60_global,habitat_s60to200_global,habitat_h60to200_global,habitat_s200to2000_global,habitat_h200to2000_global,habitat_s2000p_global,habitat_h2000p_global,habitat_seamounts_global,habitat_pelagic_global,habitat_pelagic_deep_global,habitat_rocky_intertidal_global,habitat_intertidal_mud_global,habitat_beach_global,habitat_salt_marsh_global,habitat_suspension_reef_global,
threat_fert_global_ln_normalized,2.060610909,1.586669333,1.34286,0.973334,1.377776667,1.933335,0.633335,1.896967273,0,0,1.095237143,0,1.62469037,1.083335,0.192593333,1.333335652,1.4,
threat_pest_global_ln_normalized,1.890909091,1.992597778,2.466666667,2.1083325,1.571425714,1.016665,0.216665,2.65334,0,0,2.078790909,1.6,2.078575,1.91111,1.728568571,1.4719992,2.8,
threat_impv_global_ln_normalized,0.6,1.976192857,1.333331429,1.57436,0.16,1.533336667,0.216665,1.58334,0,0,1.907693846,1.6,1.718182727,1.57778,0.53889,1.88394963,2.7,
threat_pop_global_ln_normalized,2.430307273,2.375441053,1.428574286,0.848483636,1.699998,0,0,1.581818182,0,0,0.922223333,0,2.649023529,2.081477778,2.516667,1.607014737,3,
threat_fish3_global_ln_normalized,0.2166675,2.579998,2.141665,2.937038889,2.704761429,3.050005,2.76667,2.328204615,3,3.46667,2.140742222,0.77778,1.10606,1.40952,0.193334,0.8958325,3.1,
threat_fish5_global_ln_normalized,1,2.881157391,1.790477143,1.96667,2.833334286,2.346668,2.35556,2.027773333,0,0,1.614817778,0,0.72,1.866671429,0.933337778,0.9333325,0.7,
threat_fish4_global_ln_normalized,1,2.881157391,1.790477143,1.96667,2.833334286,2.346668,2.35556,2.027773333,0,0,1.614817778,0,0.72,1.866671429,0.933337778,0.9333325,0.5,
threat_fish2_global_ln_normalized,0,2.503333,0,1.053336,2.696970909,0.18889,0,1.587878182,0,0,2.724445333,2.188893333,0.828571429,0,0.148148889,0.439998667,0,
threat_fish1_global_ln_normalized,0,2.549208571,0.586668,0.792595556,2.694443333,0.166666667,0,0.4333325,0,0,2.200001818,0.571431429,0.035294118,0,0,0.377776,0,
threat_artisanal_global_ln_normalized,0,2.263156842,0,0.562964444,1.822222222,0,0,0.592595556,0,0.866666667,0.628571429,0,1.109091818,0.466665,0.788886667,0.453330667,1,
threat_sst_annual_changes_avg_ln_normalized,2.037035556,1.709524286,0.346664,2.142858571,2.422224444,1.9,0.9,2.4500025,1.5,1.8,3.272727273,2.040004,2.313891667,1.35556,0.590477143,1.32083375,0.8,
threat_uv_global_ln_normalized,0.455556667,0.622222222,0.253332,1.485712857,1.742857143,0,0,1.333333333,0,0,1.285714286,0,0.702563077,1.29334,0,0.94583375,0,
threat_acid_global_ln_normalized,1.407406667,1.06,0.133332,1.343589231,2.3666675,1.84444,1.6,2.133333333,2.6,2.666666667,1.540737778,0,0.68,0.93334,0,1.1875,0,
threat_invasive_species_ln_normalized,1.1166725,2.093332,2.346666,1.351516364,1.222223333,0.15,0.53333,1.266672,0,0,1.72,0,2.424244242,2.323083077,0.819048571,2.517781333,2.6,
threat_accidents_oil_ln_normalized,0.48889,1.638888333,0.844443333,1.08,0.253332,1.055563333,1.480008,2.046668,1.2,1.244453333,1.6,0.44444,1.098247368,0.75,0.44762,1.14902,0,
threat_shipping_global_ln_normalized,1.841665,1.415386154,0.266668,1.745456364,0.8333375,0.133333333,1.013336,0.85,0,0,1.785182222,0,0.235294118,1.75556,1.799996667,1.353329,0,
threat_flares_global_ln_normalized,0,0.68,0,1.079998,0.866663333,1.41667,0.75556,1.533336667,1.6,1.55001,1.00952,0.44444,0.621051579,0,0.444444444,0.595238571,0.4,
threat_hypoxia_oxyrisk_ln_normalized,1.288888889,1.533334286,1.46667,1.413334,2.766664,2.033335,1.7,2.4833325,0,1.7,2.08889,2.771434286,1.1583325,2.074068889,0.557576364,1.823335,1.4,
